AS6951,CreditCall Corporation
AS24149,Internet Domain Name System Beijing Engineering Resrarch Center Ltd.
AS35986,Vyve Broadband
AS215123,QZ Teknoloji Anonim Sirketi
AS7979,"Servers.com, Inc."
AS151349,Yuki Network Ltd
AS136907,Huawei Cloud
AS394564,Spectrotel Inc
AS62579,VirtualShield LLC
AS29478,Karl Dyson
AS396486,Conseil scolaire de district catholique du Centre-Est de l'Ontario
AS152162,5centsCDN Inc
AS396566,Verisign Anycast NL 0L
AS44354,BROCK VOJKOVIC
AS23724,China Telecom Beijing IDC Network
AS13768,Aptum Technologies
AS30311,"Disney Worldwide Services, Inc."
AS395409,Neocities
AS26073,"Cofractal, Inc."
AS35873,"Move Networks, inc."
AS24409,China Internet Network Infomation Center
AS57910,"Soluciones Corporativas IP, SL"
AS149512,Inligo Networks Pty Ltd
AS9823,Pearson Group
AS8757,"NSFOCUS, Inc."
AS51019,Kjartan Hrafnkelsson
AS54994,Meteverse Limited
AS53292,ManagedWay
AS142057,eMudhra Limited
AS53618,"Aditya Birla Minacs Worldwide, Inc."
AS48283,Stichting Internet Domeinregistratie Nederland
AS54406,Convermax Corp
AS55219,"Cisco Systems, Inc."
AS47018,"Covenant Eyes, Inc."
AS207333,"LLP ""Kompaniya Hoster.KZ"""
AS397197,Verisign Anycast DE 0E
AS26008,"Akamai Technologies, Inc."
AS201303,CentralNic Ltd
AS396367,"Canadian Tire Corporation, LTD"
AS27661,Network Information Center México
AS210004,Stichting Internet Domeinregistratie Nederland
AS202687,Mainloop AB
AS55256,Netskope Inc
AS63548,LENOVO (BEIJING) Co.ltd
AS61005,OpenTLD BV
AS22995,Xplore Inc.
AS399668,e-planning
AS6507,"Riot Games, Inc"
AS397198,Verisign Anycast DE 0F
AS955,LSHIY LLC
AS40680,Protocol Labs
AS54990,1337 Services LLC
AS141288,National Institute Of Science Education And Research Bhubaneswar
AS38476,GATI EXPRESS & SUPPLY CHAIN PRIVATE LIMITED
AS18002,AS Number for Interdomain Routing
AS42316,Metisim Technologies Ltd
AS45526,"UGAM SOLUTIONS PVT LTD,"
AS17378,"TierPoint, LLC"
AS201612,nic.at GmbH
AS395216,TELLIGEN
AS200303,LUMASERV
AS396826,Verisign Anycast SG 0E
AS25152,RIPE NCC - K-root
AS203391,Cloud DNS Ltd
AS8674,Netnod AB
AS10886,University of Maryland
AS209626,Enflow B.V.
AS198949,Radware
AS8068,Microsoft Corporation
AS203961,CentralNic Ltd
AS10779,"StepBroBD, Inc."
AS393792,"2600hz, Inc"
AS401351,DevZero
AS399827,"2pifi, Inc"
AS15395,Rackspace Ltd.
AS207266,Identity Digital Limited
AS32575,"DigiCert, Inc."
AS36217,"NetActuate, Inc"
AS24013,SB Professional Services
AS30612,"Eagle Communications, Inc."
AS139296,Bangladesh Water Development Board
AS397829,Sleep Country Canada
AS50756,Mikrofinansovaya organizaciya Robocash.kz LLP
AS63911,"NetActuate, Inc"
AS32708,LoadEdge Limited
AS55532,Squiz Pty Ltd
AS40568,CIRA Canadian Internet Registration Authority Autorit Canadienne pour les enregistrements Internet
AS3356,Lumen (Level 3)
AS26984,Universal TelCom LLC
AS19039,DurableDNS Inc
AS15133,Edgecast Inc.
AS205282,Tilda Publishing Ltd.
AS53343,sc Network
AS207731,"NXSR, UNIPESSOAL LDA"
AS42198,"Jurassic Innovations, LLC"
AS4780,Digital United Inc.
AS45758,Triple T Broadband Public Company Limited
AS5650,Frontier Communications
AS59188,IndianOil Corporation Limited
AS57352,Federal State Unitary Enterprise Rossiya Segodnya International Information Agency
AS42856,Elmar K. Bins
AS140292,CHINATELECOM Jiangsu province Suzhou 5G network
