AS33788,Kanar Telecommunication (Canar Telecom Co.Ltd)
AS35091,"Teledata, Ghana"
AS20712,Andrews & Arnold Ltd
AS42184,TKRZ Stadtwerke GmbH
AS8708,DIGI ROMANIA S.A.
AS1239,Sprint Wireline (Cogent)
AS147120,PT Myarsyila Indonesia Interkoneksi
AS9145,EWE TEL GmbH
AS8220,COLT
AS3209,Vodafone GmbH
AS3320,Deutsche Telekom AG
AS6830,Liberty Global B.V.
AS264628,The Houses Television C.A. (ConexTELECOM/Fibex Telecom)
AS12306,Plus.line AG
AS34953,RelAix Networks GmbH
AS702,Verizon Business - EMEA
AS174,Cogent Communications
AS1273,Vodafone Group PLC
AS60294,Deutsche Glasfaser Wholesale GmbH
AS28676,WITCOM Wiesbadener Informations- und Telekommunikations GmbH
AS3257,GTT Communications Inc.
AS149658,Taherpur Online
AS32582,"600Amps Internet Services, Inc."
AS16086,DNA Oyj
AS1759,Telia Finland Oyj
AS147066,FASTTEL BROADBAND (PRIVATE) LIMITED
AS47474,Virtual1 Limited
AS8881,1&1 Versatel Deutschland GmbH
AS44735,Nova hf
AS21473,PFALZKOM GmbH
AS13045,htp GmbH
AS9121,Turk Telekom
AS50629,LWLcom GmbH
AS17806,Mango Teleservices
AS51896,Hringdu ehf
AS23860,Alliance Broadband Services Pvt. Ltd.
AS8359,MTS PJSC
AS395662,"OzarksGo, LLC"
AS42885,Paraisten Puhelin Oy
AS199087,KaseNet oy
AS39878,Peter Rauter GmbH
AS16302,Suomi Communications Oy
AS39699,Lounea Palvelut Oy
AS35540,OVH Telecom (OVH SAS)
AS58453,China Mobile International
AS13058,serve-u - Buchholz und Sünderhauf GbR
AS56048,China Mobile Group Beijing Company
AS24400,"Shanghai Mobile Communications Co.,Ltd."
AS56040,China Mobile Group GuangDong Company
AS56046,China Mobile Beijing Province Network
AS9808,China Mobile Backbone
AS17622,China Unicom Guangdong Province Network
AS140726,China Unicom AnHui Province Network
AS17621,China Unicom Shanghai network
AS17623,China Unicom Shenzhen network
AS17816,China Unicom IP network China169 Guangdong province
AS9505,Taiwan Internet Gateway
AS133613,MTel telecommunication company ltd.
AS9924,"Taiwan Fixed Network, Telco and Network Service Provider."
AS3462,HiNet (Chunghwa Telecom)
AS1136,KPN B.V.
AS17676,SoftBank Corp.
AS2516,KDDI Corporation
AS7545,TPG Telecom Limited
AS9231,China Mobile Hong Kong Company Limited
AS23473,PAVLOV MEDIA INC
AS17962,ShenZhen Topway Video Communication Co. Ltd
AS17557,Pakistan Telecommunication Company Limited
AS8818,Tusass A/S
AS7155,"ViaSat,Inc."
AS14593,SpaceX Starlink
AS6621,"Hughes Network Systems, LLC"
AS6677,Míla hf
AS13347,Midwest Cable
AS9136,WOBCOM GmbH
AS8452,Telecom Egypt
AS200780,Eurofiber France SAS
AS9268,Over The Wire Pty Ltd
AS8280,SYNAPSECOM S.A. Provider of Telecommunications and Internet Services
AS198726,Thuega SmartService GmbH
AS31655,Gamma Telecom Holdings Ltd
AS36890,MTN Rwandacell
AS197207,Hamrahe Avval (Mobile Communication Company of Iran)
AS16097,HL komm Telekommunikations GmbH
AS16391,Celito Communications Inc.
AS37349,Aptus Solutions Ltd
AS4540,SOGETEL INC
AS8896,GLOBALCONNECT AS
AS149335,PT Gogiga Media Teknologi
AS210490,FOP Matishynets Serhii
AS13046,Hrvatski Telekom d.d.
AS58689,ICC Communication
AS24637,WEBDISCOUNT GmbH & Co. KG
AS141664,PT Jaringan Inti Exadata
AS149863,D TAJ ONLINE
AS263661,Brasil Digital Telecom
AS44180,ETN Internet GmbH & Co. KG
AS22652,Videotron Ltee
AS61716,Central Telecom
AS7303,Telecom Argentina S.A.
AS16814,NSS S.A.
AS8473,Bahnhof AB
AS51809,BRSK Limited
AS13009,Redcentric Solutions Ltd
AS135806,Kalpavruksha Communication Services Pvt.ltd
AS803,Saskatchewan Telecommunications
AS54182,Bell Canada
AS28166,Telecom South America - TESA Telecom
AS2586,Elisa Eesti AS
AS17465,Asianet Broadband
AS12969,Ljósleiðarinn ehf (Vodafone Iceland)
AS55915,Classic Tech Pvt. Ltd.
AS12389,PJSC Rostelecom
AS329029,Mymanga Networks
AS8218,Zayo Europe
AS199508,S1 Networks Oy
AS51935,BLC Telecom Oy
AS24751,Jakobstadsnejdens Telefon Ab
AS42621,LPOnet Osk Anl
AS199480,Alajärven Puhelinosuuskunta JAPO
AS31042,Serbia BroadBand-Srpske Kablovske mreze d.o.o.
AS30999,Emtel
AS57630,84 Grams AB
AS328578,KEMNET TECHNOLOGIES LIMITED
AS141105,PT Dapur Remaja Multi Sarana
AS138259,Manish Infocom Private Limited
AS12941,intersaar GmbH
AS139946,PT Teknologi Bumi Nusantara
AS204332,TKC system s.r.o.
AS1257,Tele2 Sverige AB
AS139026,Shadhinota Net
AS149925,PT Sakti Wijaya Network
AS56665,Proximus Luxembourg S.A.
AS50628,ALWAYS ON SAS
AS199081,Lancom Ltd.
AS198722,1310 Limited
AS5713,Telkom SA Ltd.
AS37358,BitCo
AS11776,Breezeline
AS196655,Nivos Energia Oy
AS139013,Hi-Tech Online Services
AS150022,METAWAVES PVT LTD
AS8758,Iway AG
AS25160,Vorboss Limited
AS149344,PT Dhoho Mitra Abadi
AS22070,"Blue Ridge Websoft, LLC"
AS19381,"Simply Bits, LLC"
AS32133,Ting Fiber Inc.
AS29518,Bredband2 AB
AS142600,Duronto Online
AS42965,net services Beteiligungsgesellschaft mbH trading as net services GmbH & Co. KG
AS53423,Brazos WiFi
AS134146,SAM ONLINE
AS17511,OPTAGE Inc.
AS208594,Netbone Telekomunikasyon A.S.
AS39122,Blacknight Internet Solutions Limited
AS4134,China Telecom Backbone
AS4837,China Unicom Backbone
AS134026,Ultranet services private limited
AS212751,Onorato Massimiliano trading as MAXIDEA SAS
AS41960,Nextpertise B.V.
AS200868,Kapalvæðing ehf
AS14979,Aeronet Wireless
AS205614,Medialine EuroTrade AG
AS49515,DND Nordic AB
AS134868,SHARKTEL INFOCOM PRIVATE LIMITED
AS147033,Liza Online BD
AS269832,MDS TELECOM C.A.
AS8053,IFX Networks Venezuela C.A.
AS11562,"Net Uno, C.A."
AS8048,"CANTV Servicios, Venezuela"
AS6306,"TELEFONICA VENEZOLANA, C.A. (Movistar)"
AS140607,Sign In (PVT) LTD
AS135772,POWERNET
AS41114,ORNE THD SPL
AS45899,VNPT Corp
AS198440,AllPoints Fibre Networks Limited
AS141283,Agile Netlink Private Limited
AS149058,Speed Links
AS397412,Tachus Fiber Internet
AS18245,"Beijing Founder Broadband Network Technology Co.,Ltd"
AS137409,GSL Networks Pty LTD
AS134697,Launtel
AS271799,"TELERY NETWORKS, S.R.L"
AS4847,China Telecom Beijing Province Network
AS18187,Source Telecoms Inc.
AS201006,Kuuskaistan Palvelut Oy
AS201587,verkko-osuuskunta Kuuskaista
AS52056,Lounea (ex. Härkätien Puhelin)
AS49826,Lounea (ex. Forssan Seudun Puhelin)
AS21348,Lounea (ex. Etelä-Satakunnan Puhelin)
AS8422,NetCologne
AS58717,Summit Communications Ltd
AS150683,FASTTEL BROADBAND (PRIVATE) LIMITED
AS20634,Telecom Liechtenstein AG
AS47297,NetCom BW GmbH
AS134489,S. B Link Network
AS52999,START TELECOM LTDA
AS271502,XyberNet Telecom
AS398113,Gateway Fiber LLC
AS53180,INFORTEL COMUNICACOES LTDA
AS141253,Hyosec Solutions Private Limited
AS24309,Atria Convergence Technologies
AS139042,Speed Links
AS3212,Telemach Slovenija d.o.o.
AS196954,Epcan GmbH
AS58075,X2com BV
AS5413,Daisy Corporate Services Trading Ltd
AS25509,Hringiðan ehf / Vortex Inc
AS399240,"BLUE RIDGE INTERNET, L.L.C"
AS51918,Cerberus Networks Ltd
AS133334,DCTV Cable Network Broadband Services Inc
AS270703,Alltec Internet
AS4775,Globe Telecoms
AS9299,PLDT (Philippine Long Distance Telephone Company)
AS10750,Mark Twain Rural Telephone Co.
AS141431,Call 2 Phone Private Limited
AS140457,PT Ikhlas Cipta Teknologi
AS205892,Nomical Ltd
AS200119,Michael Jochen Korn
AS9790,Two Degrees Networks Limited
AS23655,2degrees Networks Limited
AS48814,Netbone Telekomunikasyon A.S.
AS59514,PE Kucherenko V.V.
AS140644,Skylark Network
AS20912,Panservice s.a.s. di Cuseo Fabrizio & C.
AS28598,MOB
AS49770,Internetport Sweden AB
AS199095,Citymesh Integrator NV
AS328760,ZTEL PTY LTD
AS3695,SPM TELECOM (Orange)
AS25184,Afranet
AS328987,Lime Emerging Solutions Limited
AS46690,Frontier Communications
AS272809,"THUNDERNET, C.A."
AS58273,Broadband for the Rural North Limited.
AS9498,Bharti Airtel Ltd.
AS37482,Broadband Innovations
AS133838,PT Infotek Global Network
AS27717,Corporacion Digitel C.A.
AS208189,AllPoints Fibre Networks Limited
AS140423,PT Chandra Media Nusantara
AS5089,Virgin Media Limited
AS14131,DataYard
AS28165,Wireless Comm Services LTDA
AS141529,Vmps Internet Private Limited
AS142370,PT Master Star Network
AS327822,Airpark Beaufort West CC
AS15366,DNS:NET Internet Service GmbH
AS9063,VSE NET GmbH
AS13101,TNG Stadtnetz GmbH
AS41110,DSLmobil GmbH
AS16202,Tele Columbus AG (Pÿur / Pyur)
AS197704,24IT MEDIA Sp. z o.o.
AS49824,"PC ""Astra-net"""
AS329140,Afrifiber SAS
AS15605,Connesi S.p.A.
AS2119,Telenor Norge AS
AS17639,Converge ICT Solutions Inc.
AS136342,Winux Communications Pvt. Ltd.
AS134630,PT Palapa Global Nusantara
AS30848,UNIDATA S.p.A.
AS39120,Convergenze S.p.A.
AS31115,INTRED S.P.A.
AS8612,Tiscali Italia S.P.A.
AS35612,EOLO S.p.A.
AS12874,Fastweb SpA
AS3269,TIM S.p.A. (fka. Telecom Italia S.p.A.)
AS30722,Vodafone Italia S.p.A.
AS1267,WIND TRE S.P.A.
AS3243,MEO
AS51088,A2B IP B.V.
AS56410,Leeson Telecom Holdings Ltd
AS13781,Hopkinsville Electric System
AS132974,Suraj Network
AS141731,Max Hub Limited
AS15943,wilhelm.tel GmbH
AS13170,Kaisanet Oy
AS57732,Ikaalisten-Parkanon Puhelin Osakeyhtio Ltd
AS201172,Suupohjan Seutuverkko Oy
AS39194,Vakka-Suomen Puhelin Oy
AS34263,MPY Telecom Oy
AS42343,Karjaan Puhelin Oy
AS20904,Cinia Oy (fka. Netplaza)
AS202441,mts D.O.O
AS135746,Cityline Networks Pvt Ltd
AS11990,"Unlimited Net, LLC"
AS62809,Volt Broadband
AS202613,Aruba S.p.A.
