AS31399,Mercedes-Benz Group AG
AS29816,Southwest Airlines Co.
AS8373,Deutsche Bank AG
AS202032,GOLINE SA
AS400172,"RackOrbit, LLC"
AS50807,Inspiretec LTD
AS14340,"Salesforce.com, Inc."
AS58182,Wix.com Ltd.
AS328964,Insight Actuarial Solutions (Pty) Ltd
AS49552,OpenSource Security GmbH
AS43397,items GmbH & Co. KG
AS48352,LIS Logistische Informationssysteme GmbH
AS8454,FMO Flughafen Muenster/Osnabrueck GmbH
AS210035,Stiftung Mathias-Spital Rheine
AS196731,egeplast international GmbH
AS46644,Social Blade LLC
AS394230,"Civilized Discourse Construction Kit, Inc."
AS211169,CaramelFox Networks LLC
AS149546,B G CHITALE
AS38846,"Wolf Feather Culture Information Co., Ltd."
AS13009,Redcentric Solutions Ltd
AS61232,redIT Services AG
AS51335,CELESTE SAS
AS149753,PT Global Sarana Mediakom
AS47545,Verkís hf
AS27277,Space Exploration Technologies Corporation
AS197403,Íslandsbanki hf
AS39532,Landsbankinn hf
AS47828,Rapyd Europe hf.
AS3333,Reseaux IP Europeens Network Coordination Centre (RIPE NCC)
AS14114,SAP NIE
AS50156,Boxed IT Ltd.
AS205080,SITA
AS202191,Katoen Natie
AS62058,Belgian Radio-television of the French Community
AS209704,Belgium National Railway Company
AS198912,SITA
AS8218,Zayo Europe
AS198147,Telecommunication Tokelau Corporation Teletok
AS57382,Telecommunication Tokelau Corporation Teletok
AS61005,OpenTLD BV
AS61007,OpenTLD BV
AS60679,Freedom Registry BV
AS21490,Alisa Pankki Oyj
AS52004,Lindex Group Oyj
AS208272,VR-Group Ltd
AS1780,Valmet Oyj
AS5420,Kemira Oyj
AS28166,Telecom South America - TESA Telecom
AS203968,aiticon GmbH
AS399976,Nova Networks Inc
AS210000,TwentyWAN MB
AS397441,Nebula Mods
AS201154,IKEA IT AB
AS28680,IKEA IT AB
AS57630,84 Grams AB
AS328578,KEMNET TECHNOLOGIES LIMITED
AS203511,OZBAY BILISIM INTERNET HIZMETLERI LIMITED SIRKETI
AS28788,Dustin NL B.V.
AS203176,Reiknistofa bankanna hf.
AS62485,"ServerKing.io, LLC"
AS329016,Adumo Technologies  (Pty) Ltd
AS51405,Voipgate S.A.
AS50628,ALWAYS ON SAS
AS13414,Twitter Inc.
AS16625,"Akamai Technologies, Inc."
AS36459,"GitHub, Inc."
AS57066,Yleisradio Oy
AS24809,If Skadeforsakring AB
AS209299,Ambientia Group Oy
AS929,KIRINO LLC
AS54115,Facebook (Corporate)
AS37028,First Rand Bank Limited
AS198417,DSM Grup Danismanlik Iletisim ve Satis Ticaret Anonim Sirket
AS395044,Apt Labs
AS60345,icixs networks UG (haftungsbeschraenkt)
AS141253,Hyosec Solutions Private Limited
AS9423,"ServerKing.io, LLC"
AS56901,"ServerKing.io, LLC"
AS43973,QIWI JSC
AS212828,Tom Hatzer trading as twopeaks digital e.U.
AS48927,ESEVEN DevOps GmbH
AS201110,Andritz AG
AS400422,Modern Treasury Corp.
AS1011,Accutar Biotechnology (Canada) Inc.
AS270532,IB TURBO
AS32491,Tucows.com Co.
AS204857,BerryByte Limited
AS201273,cubequadrat OU
AS15465,SIEMENS AG
AS15590,Atruvia AG
AS15548,"Cajamar Caja Rural, Sociedad Cooperativa de Credito"
AS399838,"VITAL GAME NETWORK, LLC"
AS47536,PathConnect GmbH
AS203372,GSA Capital Services Ltd
AS131659,NETEASE
AS137263,NETEASE HONG KONG LIMITED
AS45062,NetEase
AS197759,Enapter AG
AS41983,Kaspersky Lab Switzerland GmbH
AS15810,"Banco Bilbao Vizcaya Argentaria, S.A."
AS399728,P Foundation
AS71,Hewlett Packard Enterprise
