AS36223,Spanish Fork City
AS3462,HiNet (Chunghwa Telecom)
AS12389,PJSC Rostelecom
AS4766,Korea Telecom
AS6830,Liberty Global B.V.
AS5089,Virgin Media Limited
AS55836,Reliance Jio Infocomm Limited
AS4837,China Unicom Backbone
AS28573,Claro NXT Telecomunicacoes Ltda
AS701,Verizon Business
AS3352,TELEFONICA DE ESPANA S.A.U.
AS12479,Orange Espagne SA
AS2516,KDDI Corporation
AS8402,"OJSC ""Vimpelcom"""
AS3269,TIM S.p.A. (fka. Telecom Italia S.p.A.)
AS9269,Hong Kong Broadband Network Ltd.
AS3215,Orange S.A.
AS8708,DIGI ROMANIA S.A.
AS2856,British Telecommunications
AS17676,SoftBank Corp.
AS4760,HKT Limited
AS7018,"AT&T Enterprises, LLC"
AS20115,Charter Communications LLC
AS3320,Deutsche Telekom AG
AS5607,Sky UK
AS12322,Free SAS
AS36947,Telecom Algeria
AS577,Bell Canada
AS1221,Telstra Limited
AS6697,Beltelecom
AS12874,Fastweb SpA
AS9808,China Mobile Backbone
AS4812,China Telecom Shanghai Province Network
AS18881,TELEFÔNICA BRASIL LTDA
AS22773,Cox Communications Inc.
AS25513,PJSC Moscow city telephone network
AS5483,Magyar Telekom Plc.
AS42610,PJSC Rostelecom
AS8866,Vivacom Bulgaria EAD
AS47331,TTNet A.S.
AS33363,"Charter Communications, Inc"
AS6327,Shaw Communications Inc.
AS6799,Ote SA (Hellenic Telecommunications Organisation)
AS4788,TM Technology Services Sdn. Bhd.
AS8452,Telecom Egypt
AS2527,Sony Network Communications Inc.
AS20001,Charter Communications Inc
AS5769,Videotron Ltee
AS27699,TELEFÔNICA BRASIL S.A
AS10796,Charter Communications Inc
AS9318,SK Broadband Co Ltd
AS812,Rogers Communications Canada Inc.
AS2119,Telenor Norge AS
AS33915,Vodafone Libertel B.V.
AS6128,Cablevision Systems Corp.
AS20845,DIGI Tavkozlesi es Szolgaltato Kft.
AS15557,SFR SA
AS7738,V.tal
AS5432,Proximus NV
AS11427,Charter Communications Inc
AS30722,Vodafone Italia S.p.A.
AS45609,Bharti Airtel Ltd. AS for GPRS Service
AS12430,VODAFONE ESPANA S.A.U.
AS15895,"""Kyivstar"" PJSC"
AS45595,Pakistan Telecom Company Limited
AS5410,Bouygues Telecom SA
AS8151,UNINET
AS15704,XTRA TELECOM S.A.
AS8359,MTS PJSC
AS5650,Frontier Communications
AS13285,TalkTalk Communications Limited
AS852,TELUS Communications Inc.
AS7545,TPG Telecom Limited
AS9198,JSC Kazakhtelecom
AS3301,Telia Company AB
AS6739,"VODAFONE ONO, S.A."
AS25019,Saudi Telecom Company JSC
AS17858,LG POWERCOMM
AS33491,"Comcast Cable Communications, LLC"
AS1136,KPN B.V.
AS11426,Charter Communications Inc
AS6849,"JSC ""Ukrtelecom"""
AS209,Lumen (ex. Qwest)
AS1267,WIND TRE S.P.A.
AS8551,Bezeq International Ltd.
AS5617,Orange Polska Spolka Akcyjna
AS3216,"PJSC ""Vimpelcom"""
AS37457,Telkom SA Ltd.
AS3243,MEO
AS8167,V.tal
AS12714,PJSC MegaFon
AS9299,PLDT (Philippine Long Distance Telephone Company)
AS17552,True Online
AS25229,"Limited Liability Company ""KYIVSKI TELEKOMUNIKATSIYNI MEREZHI"""
AS2518,BIGLOBE Inc.
AS17511,OPTAGE Inc.
AS21928,"T-Mobile USA, Inc."
AS8400,Telekom Srbija a.d.
AS6848,Telenet BV
AS12357,VODAFONE ESPANA S.A.U.
AS33651,"Comcast Cable Communications, LLC"
AS31042,Serbia BroadBand-Srpske Kablovske mreze d.o.o.
AS12849,Hot-Net internet services Ltd.
AS4804,Optus (Microplex PTY LTD)
AS12353,Vodafone Portugal - Communicacoes Pessoais S.A.
AS7015,"Comcast Cable Communications, LLC"
AS36903,Maroc Telecom
AS5603,"Telekom Slovenije, d.d."
AS5384,EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC
AS2860,"NOS COMUNICACOES, S.A."
AS13124,A1 Bulgaria EAD
AS8764,"Telia Lietuva, AB"
AS4808,China Unicom Beijing Province Network
AS134774,CHINANET Guangdong province Shenzhen MAN network
AS12576,EE Limited
AS8048,"CANTV Servicios, Venezuela"
AS9105,TalkTalk Communications Limited
AS35807,SkyNet Ltd.
AS6871,Plusnet plc
AS56046,China Mobile Beijing Province Network
AS39651,Tele2 Sverige (Com Hem)
AS56047,China Mobile communications corporation
AS29695,Lyse Tele AS
AS12271,Charter Communications Inc
AS7992,Cogeco Connexion Inc.
AS41733,"JSC ""ER-Telecom Holding"""
AS29580,A1 Bulgaria EAD
AS43205,Vivacom Bulgaria EAD
AS34984,Superonline Iletisim Hizmetleri A.S.
AS11351,Charter Communications Inc
AS9829,BSNL (Bharat Sanchar Nigam Ltd)
AS31334,Vodafone Deutschland GmbH
AS5645,"TekSavvy Solutions, Inc."
AS34779,"T-2, d.o.o."
AS1680,Cellcom Fixed Line Communication L.P
AS10318,Telecom Argentina S.A.
AS9304,HGC Global Communications Limited
AS20057,"AT&T Enterprises, LLC"
AS58224,Iran Telecommunication Company PJS
AS3329,Vodafone Greece
AS7303,Telecom Argentina S.A.
AS25472,Nova Telecommunications & Media Single Member S.A
AS13188,Triolan
AS9824,"JCOM Co., Ltd."
AS45899,VNPT Corp
AS15582,JSC Comcor
AS33650,"Comcast Cable Communications, LLC"
AS131596,TBC
AS12392,VOO S.A.
AS9924,"Taiwan Fixed Network, Telco and Network Service Provider."
AS6147,Telefonica del Peru S.A.A.
AS9121,Turk Telekom
AS7725,"Comcast Cable Communications, LLC"
AS8473,Bahnhof AB
AS3303,Swisscom (Schweiz) AG
AS25159,PJSC MegaFon
AS15774,"Limited Liability Company ""TTK-Svyaz"""
AS9506,Singtel Fibre Broadband
AS9116,Partner Communications Ltd.
AS45758,Triple T Broadband Public Company Limited
AS22047,VTR BANDA ANCHA S.A.
AS4780,Digital United Inc.
AS33668,"Comcast Cable Communications, LLC"
AS5378,Vodafone Limited
AS45271,Vodafone Idea Ltd
AS43561,Vivacom Bulgaria EAD
AS3292,TDC Holding A/S
AS1241,Nova Telecommunications & Media Single Member S.A
AS10481,Telecom Argentina S.A.
AS28840,"PJSC ""TATTELECOM"""
AS35141,A1 Bulgaria EAD
AS22927,Telefonica de Argentina
AS8369,Intersvyaz-2 JSC
AS4739,Internode Pty Ltd
AS20214,"Comcast Cable Communications, LLC"
AS3786,LG DACOM Corporation
AS33659,"Comcast Cable Communications, LLC"
AS12338,Euskaltel S.A.
AS5391,Hrvatski Telekom d.d.
AS17488,Hathway IP Over Cable Internet
AS12578,SIA Tet
AS9541,Cyber Internet Services (Pvt) Ltd.
AS9050,Orange Romania S.A.
AS8926,Moldtelecom SA
AS24560,"Bharti Airtel Ltd., Telemedia Services"
AS27747,Telecentro S.A.
AS21502,Societe Francaise Du Radiotelephone - SFR SA
AS16345,"PJSC ""Vimpelcom"""
AS12083,WideOpenWest Finance LLC
AS7016,"Comcast Cable Communications, LLC"
AS33657,"Comcast Cable Communications, LLC"
AS3209,Vodafone GmbH
AS42298,Ooredoo Q.S.C.
AS29497,MTS PJSC
