AS47671,Novacorp Networks Limited
AS13020,Chaos Computer Club Veranstaltungsgesellschaft mbH
AS62081,Stowarzyszenie e-Poludnie
AS2121,RIPE Meeting Network
AS36263,Amazon re:Invent
AS60079,Electromagnetic Field Ltd.
AS53565,Hoyos Event Networks LLC
AS13058,serve-u - Buchholz und Sünderhauf GbR
AS21067,KANDU
AS56554,IETF Event Network
AS11185,DreamHack Inc
AS62392,FOSDEM VZW
AS64404,Stichting EventInfra
AS197753,QuadV Ltd
AS19230,NANOG
AS197347,Allianz Arena Muenchen Stadion GmbH
AS215185,Entropia e.V.
AS60109,Vectorama LAN Party
AS24555,APNIC Event Network
AS18248,Taiwan Network Operators' Group (TWNOG)
