AS327931,Optimum Telecom Algeria
AS37037,Orange Madagascar
AS51375,STC BAHRAIN B.S.C CLOSED
AS6848,Telenet BV
AS5432,Proximus NV
AS47377,Orange Belgium SA
AS8437,Hutchison Drei Austria GmbH
AS8412,T-Mobile Austria GmbH
AS22927,Telefonica de Argentina
AS37119,UNITEL SA
AS44395,Ucom CJSC
AS12297,Telecom Armenia OJSC
AS44087,"""BeST"" CJSC"
AS25106,Mobile TeleSystems JLLC
AS205820,Unitary enterprise A1
AS6730,Sunrise GmbH
AS577,Bell Canada
AS8014,Bahamas Telecommunications Corporation
AS43766,Zain Saudi Arabia
AS42961,Zain Kuwait MTC
AS8953,Orange Romania S.A.
AS37002,Reunicable SAS
AS48728,Vodafone Qatar P.Q.S.C
AS8781,Ooredoo Q.S.C.
AS36890,MTN Rwandacell
AS327708,Airtel Rwanda Ltd
AS36972,MTN SUDAN
AS1257,Tele2 Sverige AB
AS44034,Hi3G Access AB
AS15962,Orange Slovensko a.s.
AS37693,OOREDOO TUNISIE SA
AS24691,"TogoTelecom, Togo"
AS37492,Orange Tunisie
AS37164,Orange (SL) Limited
AS36908,Vodacom Tanzania Ltd
AS37133,Airtel Tanzania
AS37075,Airtel Uganda Limited
AS201767,"""Uzbektelekom"" Joint Stock Company"
AS36962,MTN Zambia
AS45899,VNPT Corp
AS37287,Zain Zambia PLC
AS27995,ERR_AS_NAME_NOT_FOUND
AS7418,TELEFÓNICA CHILE S.A.
AS36912,Orange Cameroun SA
AS59588,Zain Iraq
AS6677,Míla hf
AS45356,Mobitel Pvt Ltd
AS33576,Digicel Jamaica
AS30689,FLOW
AS42912,Zain Jordan
AS8697,Jordan Telecommunications PSC
AS9605,"NTT DOCOMO, INC."
AS4725,SoftBank Corp.
AS9644,SK Telecom
AS4766,Korea Telecom
AS3225,Bonline aka GULF communications
AS47589,VIVA Kuwait (STC)
AS132045,Dialog Axiata Plc
AS17470,Hutchison Telecommunications Lanka (Private) Limited
AS37094,"Orange Liberia, INC"
AS6661,POST Luxembourg
AS328286,Libyana Mobile Phone Company JSC
AS36925,Orange Maroc
AS136255,Mytel Myanmar
AS55805,MobiCom Corporation
AS15735,GO p.l.c.
AS9500,One New Zealand Group Limited
AS23655,2degrees Networks Limited
AS5617,Orange Polska Spolka Akcyjna
AS8708,DIGI ROMANIA S.A.
AS12302,Vodafone Romania S.A.
AS719,Elisa Oyj
AS5607,Sky UK
AS35228,o2 (Telefonica UK)
AS5089,Virgin Media Limited
AS20712,Andrews & Arnold Ltd
AS12576,EE Limited
AS25135,Vodafone Limited
AS6739,"VODAFONE ONO, S.A."
AS24835,Vodafone Egypt
AS1759,Telia Finland Oyj
AS3215,Orange S.A.
AS3352,TELEFONICA DE ESPANA S.A.U.
AS12430,VODAFONE ESPANA S.A.U.
AS3209,Vodafone GmbH
AS3320,Deutsche Telekom AG
AS13036,T-Mobile Czech Republic a.s.
AS206067,Hutchison 3G UK Limited
AS56040,China Mobile Group GuangDong Company
AS12929,Telia Norge AS
AS1239,Sprint Wireline (Cogent)
AS6805,Telefonica Germany (o2)
AS31615,Odido Netherlands B.V.
AS16086,DNA Oyj
AS202498,T-MOB LLC
AS9121,Turk Telekom
AS51896,Hringdu ehf
AS8359,MTS PJSC
AS29447,Iliad Italia S.p.A
AS51207,Free Mobile SAS
AS56048,China Mobile Group Beijing Company
AS24400,"Shanghai Mobile Communications Co.,Ltd."
AS56046,China Mobile Beijing Province Network
AS9808,China Mobile Backbone
AS17622,China Unicom Guangdong Province Network
AS140726,China Unicom AnHui Province Network
AS17621,China Unicom Shanghai network
AS17623,China Unicom Shenzhen network
AS17816,China Unicom IP network China169 Guangdong province
AS9924,"Taiwan Fixed Network, Telco and Network Service Provider."
AS3462,HiNet (Chunghwa Telecom)
AS1136,KPN B.V.
AS17709,Asia Pacific Telecom
AS17676,SoftBank Corp.
AS9299,PLDT (Philippine Long Distance Telephone Company)
AS9231,China Mobile Hong Kong Company Limited
AS8151,UNINET
AS17557,Pakistan Telecommunication Company Limited
AS23693,PT. Telekomunikasi Selular
AS8818,Tusass A/S
AS7438,PEGASO PCS
AS28403,"RadioMovil Dipsa, S.A. de C.V."
AS15895,"""Kyivstar"" PJSC"
AS6167,Verizon Business
AS265540,"ALTAN REDES, S.A.P.I. de C. V."
AS205638,"""TBANK"" JSC"
AS8452,Telecom Egypt
AS28469,AT&T COMUNICACIONES DIGITALES S DE RL
AS31655,Gamma Telecom Holdings Ltd
AS197207,Hamrahe Avval (Mobile Communication Company of Iran)
AS57279,Sauron CZ s.r.o.
AS39891,Saudi Telecom Company JSC
AS44735,Nova hf
AS7303,Telecom Argentina S.A.
AS15557,SFR SA
AS13771,Digicel Cayman Limited
AS28005,"Digicel (Panama), S.A"
AS48092,T2 Mobile LLC
AS20057,"AT&T Enterprises, LLC"
AS8447,A1 Telekom Austria AG
AS803,Saskatchewan Telecommunications
AS2586,Elisa Eesti AS
AS12389,PJSC Rostelecom
AS21928,"T-Mobile USA, Inc."
AS22394,Verizon Business
AS45727,PT Hutchison CP Telecommunications
AS3329,Vodafone Greece
AS24432,Robi Axiata
AS38623,Metfone (Viettel Cambodia)
AS7018,"AT&T Enterprises, LLC"
