AS12684,SES ASTRA S.A.
AS14593,SpaceX Starlink
AS60725,SES ASTRA S.A.
AS9230,Bangladesh Online Ltd.
AS33788,Kanar Telecommunication (Canar Telecom Co.Ltd)
AS17648,Hughes Communications India Private Limited
AS203101,NAVARINO SINGLE MEMBER S.A.
AS5666,"Speedcast Communications, Inc"
AS206283,Star Satellite Communications Company - PJSC
AS35091,"Teledata, Ghana"
AS327931,Optimum Telecom Algeria
AS37037,Orange Madagascar
AS39356,Avanti Broadband Ltd
AS43766,Zain Saudi Arabia
AS7155,"ViaSat,Inc."
AS6621,"Hughes Network Systems, LLC"
AS800,OneWeb
AS4913,"Speedcast Communications, Inc"
AS58726,iSATCOM
AS328959,SO! Limited
AS64294,Panasonic Avionics Corporation
AS9021,Is Net Elektonik Bilgi Uretim Dagitim Ticaret ve Iletisim Hizmetleri A.S.
AS8751,MEDIA SAT SRL
AS38770,PT Tangara Mitrakom
AS31515,Inmarsat Global Limited
AS135409,Kacific Broadband Satellites Pte Ltd
AS328866,NEWTELNET CAMEROUN SAS
AS329103,NINETEC SARL
AS56241,PT Telkom Satelit Indonesia
AS10137,PT Telkom Satelit Indonesia
AS47524,Turksat Uydu Haberlesme ve Kablo TV Isletme A.S.
AS10031,WebSatMedia Pte. Ltd.
AS45700,PT Starlink Services Indonesia
AS39151,AXESS Networks Solutions Germany GmbH
AS133815,PT Primacom Interbuana
AS9875,PT Pasifik Satelit Nusantara
AS30844,Liquid Intelligent Technologies 
AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.
AS24033,Australian Private Networks Pty Ltd
AS33763,Paratus Telecommunications Limited
AS62023,NYNEX satellite OHG
AS9249,Telecom Vanuatu Limited
AS139408,PT Sanatel
