AS3,Massachusetts Institute of Technology
AS786,Jisc Services Limited
AS1161,Technische Universiteit Eindhoven
AS10148,The University of Melbourne
AS103,Northwestern University
AS10308,Northeastern Illinois University
AS10349,Tulane University
AS10357,James Madison University
AS10364,University of Alabama in Huntsville
AS104,University of Colorado at Boulder
AS10421,Texas Tech University
AS10448,Villanova University
AS10466,MAGPI
AS10508,University of Arkansas
AS10546,Mississippi State University
AS10554,WESTERN UNIVERSITY OF HEALTH SCIENCES
AS10558,"Biola University, Inc."
AS10561,Brandeis University
AS10578,Harvard University
AS10631,Georgia State University
AS10680,Indiana University
AS10812,University of Texas System
AS10886,University of Maryland
AS10952,East Carolina University
AS10955,WILLIAM PATERSON UNIVERSITY
AS10972,"Memorial University, NF CAnet 2 gigaPOP"
AS11009,Carlow University
AS11039,The George Washington University
AS11050,Kent State University
AS11078,Brown University
AS11094,"Rutgers, The State University"
AS111,Boston University
AS11105,Simon Fraser University
AS11131,University of Maryland Baltimore County (UMBC)
AS11200,Regis University
AS11206,Ferris State University
AS11214,University of North Florida
AS11252,Idaho State University
AS11257,University of Lethbridge
AS11279,George Mason University
AS11293,University of California - Office of the President
AS11297,Lipscomb University
AS11318,Georgetown University
AS11348,Missouri University of Science and Technology
AS11417,Northern Illinois University
AS11442,North Carolina State University
AS11546,The Board of Regents of the University of Nebraska
AS11548,Heritage University
AS11570,Eastern New Mexico University
AS11607,South Dakota State University
AS11649,Gonzaga University
AS11659,University of Kansas Medical Center
AS11736,University of South Dakota
AS11745,University System of New Hampshire
AS11773,The University Of Texas M.D. Anderson Cancer Center
AS11808,University of Idaho
AS11809,Embry-Riddle University
AS11827,Washington State University
AS11834,Drexel University
AS11863,Pacific Lutheran University
AS11872,Syracuse University
AS11920,The Board of Regents of the University of Nebraska
AS11995,Oregon Health & Science University
AS12,New York University
AS12005,University of South Carolina
AS1201,Old Dominion University
AS12013,Florida Atlantic University
AS1204,The State University of New York
AS1205,University Linz
AS12093,University of Waterloo
AS12118,West Virginia University
AS12145,Colorado State University
AS12148,Clemson University
AS12173,The University of Alabama
AS12324,Maria Curie-Sklodowska University
AS12346,Maria Curie-Sklodowska University
AS12364,"University of Macedonia, Economic and Social Sciences"
AS12384,Swedish University of Agricultural Sciences
AS12402,University of Piraeus
AS12423,Nicolaus Copernicus University in Torun
