saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,success,sport,dport,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,udp_pkt_size,data,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
154.45.50.1,20065690,192.168.50.16,271755456,33664,246,udp,1,161.0,57154.0,,,,,112.0,3066020103300e02024a69020205dc040100020103041f301d040c80000009030074a02f1398c0020101020405df876c0400040004003030040c80000009030074a02f1398c00400a81e020237f002010002010030123010060a2b060106030f0101040041024e81,0,0,2025-05-17T16:43:04.257+0200,1747492984,257736
45.58.140.1,25967149,192.168.50.16,271755456,60772,55,udp,1,161.0,47203.0,,,,,109.0,3063020103300f02024a69020300ffe3040100020103041b3019040b800000090370ea1a5380360201000201000400040004003030040b800000090370ea1a5380360400a81f020237f002010002010030133011060a2b060106030f01010400410302a211,0,0,2025-05-17T16:43:04.257+0200,1747492984,257824
87.212.78.1,21943383,192.168.50.16,271755456,2834,245,udp,1,161.0,52103.0,,,,,112.0,3066020103300e02024a6902020800040100020103041f301d040c502660000000010030000130020103020403807bc90400040004003030040c5026600000000100300001300400a81e020237f002010002010030123010060a2b060106030f0101040041027dc0,0,0,2025-05-17T16:43:04.257+0200,1747492984,257864
213.152.188.1,29137109,192.168.50.16,271755456,25604,54,udp,1,161.0,59883.0,,,,,112.0,3066020103300f02024a69020300ffe3040100020103041e301c040b80000a4c030c599c5a1400020104020408dcb1f10400040004003030040b80000a4c030c599c5a14000400a81f020237f002010002010030133011060a2b060106030f01010400410304a77f,0,0,2025-05-17T16:43:04.257+0200,1747492984,257916
91.230.46.97,1630463579,192.168.50.16,271755456,60219,55,udp,1,161.0,38104.0,,,,,115.0,3069020103300e02024a69020208000401000201030420301e040d80000634b29c6000101463de9f0201060204056ee84c0400040004003032040d80000634b29c6000101463de9f0400a81f020237f002010002010030133011060a2b060106030f010104004103016879,0,0,2025-05-17T16:43:04.257+0200,1747492984,257977
185.78.251.65,1106988729,192.168.50.16,271755456,48393,55,udp,1,161.0,51813.0,,,,,113.0,3067020103300f02024a69020300ffe3040100020103041e301c040b800002a2038c47bea2f28f02010a020401779a3c0400040004003031040b800002a2038c47bea2f28f0400a820020237f002010002010030143012060a2b060106030f0101040041040183b5e9,0,0,2025-05-17T16:43:04.258+0200,1747492984,258036
50.118.225.1,31553074,192.168.50.16,271755456,56536,56,udp,1,161.0,45083.0,,,,,106.0,3060020103300f02024a69020300ffe3040100020103041b3019040980000a4c01c0a8ff9702010102033ddccc040004000400302d040980000a4c01c0a8ff970400a81e020237f002010002010030123010060a2b060106030f0101040041022985,0,0,2025-05-17T16:43:04.258+0200,1747492984,258088
94.231.249.1,33154910,192.168.50.16,271755456,8004,246,udp,1,161.0,48554.0,,,,,113.0,3067020103300e02024a69020205dc040100020103041f301d040c80000009030000070e0f2f44020103020400a13a6b0400040004003031040c80000009030000070e0f2f440400a81f020237f002010002010030133011060a2b060106030f0101040041030100f0,0,0,2025-05-17T16:43:04.258+0200,1747492984,258134
194.140.246.4,83266754,192.168.50.16,271755456,60623,245,udp,1,161.0,33992.0,,,,,113.0,3067020103300e02024a69020205dc040100020103041f301d040c80000009030058ac787ba400020112020403777db20400040004003031040c80000009030058ac787ba4000400a81f020237f002010002010030133011060a2b060106030f01010400410301da8a,0,0,2025-05-17T16:43:04.258+0200,1747492984,258170
77.221.132.1,25484621,192.168.50.16,271755456,52757,55,udp,1,161.0,46174.0,,,,,109.0,3063020103300f02024a69020300ffe3040100020103041b3019040b800000090330f70d9ee0e00201000201000400040004003030040b800000090330f70d9ee0e00400a81f020237f002010002010030133011060a2b060106030f01010400410301246e,0,0,2025-05-17T16:43:04.258+0200,1747492984,258212
