ip,enterprise,engineIDFormat,engineIDData,snmpEngineBoots,snmpEngineTime
45.148.184.92,9,3,a0:3d:6e:0c:b3:80,20,166d15h48m39s
81.4.64.1,9,3,00:18:73:b8:54:0c,6,3935d10h29m36s
212.22.74.1,2636,3,7c:25:86:90:fd:60,4,91d21h29m0s
92.120.2.1,9,3,a0:3d:6f:15:96:40,0,0d0h0m0s
81.173.44.14,14988,4,,0,0d0h0m0s
185.90.199.119,1970372456,139,,6,162d6h41m40s
37.114.88.81,9,,,1,716d8h15m33s
199.231.235.1,9,3,b0:8b:cf:1a:03:10,0,0d0h0m0s
94.228.128.194,9,3,24:e9:b3:e2:3d:18,5,782d21h0m2s
94.102.54.1,1970372420,76,,4,231d10h1m23s
213.21.232.1,9,3,00:3a:9c:23:80:c0,0,0d0h0m0s
149.11.80.18,9,3,00:2c:c8:01:e4:80,6,1715d20h2m32s
31.187.128.1,1344692224,,,2,691d0h8m2s
217.119.226.14,1991,3,60:9c:9f:58:21:00,24,653d19h55m59s
5.8.44.1,9,,,12,320d7h22m51s
193.118.48.121,2011,3,60:2e:20:06:02:81,6,628d10h57m4s
149.11.201.122,674,3,e8:65:5f:0a:a1:80,9,459d23h43m51s
104.206.188.1,1970372392,153,,6,151d14h3m31s
37.139.137.233,8072,128,,4,327d11h22m30s
46.243.167.1,9,3,54:9f:c6:1f:6f:00,10,187d23h9m35s
31.134.201.150,9,3,00:3a:9c:1c:6a:e0,0,0d0h0m0s
89.248.160.1,1970372420,76,,4,231d10h1m23s
103.147.212.1,674,3,d8:9e:f3:cf:db:60,44,39d16h28m32s
185.85.208.166,14988,4,,0,0d0h0m0s
82.217.0.1,9,3,f8:a7:3a:f0:f4:00,11,209d16h23m31s
213.247.119.42,9,3,00:fd:22:ff:2c:e0,32,231d12h49m43s
46.29.27.1,2636,1,,6,1940d1h13m4s
91.196.168.1,1991,3,00:24:38:98:af:00,66,234d5h24m44s
95.142.48.1,2636,1,,13,1295d23h20m6s
185.29.203.186,8072,128,,1,71d1h20m19s
195.219.194.96,942682160,,,1784,225d16h54m28s
147.45.114.1,1970372352,28,,3,34d11h6m18s
92.118.206.17,1970372468,131,,1,269d20h15m5s
163.171.145.1,2011,3,a0:f4:79:5b:7a:11,23,920d14h13m55s
185.6.111.249,9,3,cc:ef:48:f7:63:80,8,154d4h5m33s
31.134.200.150,9,3,00:3a:9c:17:8e:40,0,0d0h0m0s
185.68.173.201,9,,,23,482d8h27m9s
138.124.30.1,2636,3,7c:25:86:90:fd:60,4,91d21h29m2s
95.142.108.35,9,3,78:bc:1a:df:e6:80,8,2023d5h10m29s
45.15.193.1,1588,178,,2,1121d23h5m7s
193.118.48.215,1970372448,107,,5,314d12h17m7s
94.102.53.1,1970372420,76,,4,231d10h1m24s
194.69.24.1,9,3,00:1a:e2:ab:6b:12,7,2224d7h45m37s
195.219.138.30,942682160,,,1784,225d16h54m29s
185.220.215.109,9,,,2,1509d6h24m55s
217.21.254.53,9,3,c0:14:fe:17:3b:00,23,620d6h35m31s
193.42.109.1,8072,128,,7,546d14h37m45s
212.72.40.34,9,3,5c:3e:06:8d:22:00,6,629d10h55m16s
46.243.100.1,9,3,b4:de:31:ef:59:80,6,587d22h12m12s
185.15.210.63,9,3,a8:9d:21:98:85:c0,9,764d7h3m8s
217.18.95.219,1970372420,76,,8,186d10h2m6s
89.248.164.1,1970372420,76,,4,231d10h1m25s
149.11.65.89,8072,128,,1,322d8h22m10s
185.63.164.1,9,3,24:e9:b3:e2:3d:18,5,782d21h0m4s
213.207.11.84,9,3,2c:54:2d:fe:c2:80,11,7d6h50m33s
45.92.3.1,,,,0,0d0h0m0s
194.233.97.1,2636,3,0c:59:9c:5c:71:00,4,636d3h42m39s
5.180.140.1,9,3,5c:3e:06:8d:22:00,6,629d10h55m16s
81.181.110.1,9,3,5c:a6:2d:c3:ed:60,0,0d0h0m0s
185.51.56.32,1588,178,,2,1411d11h59m40s
185.90.199.111,1970372456,139,,4,245d10h9m18s
194.35.11.1,9,3,20:cf:ae:a6:ab:00,12,894d18h29m52s
78.152.39.85,9,,,6,2745d14h30m23s
193.38.244.1,1970372352,28,,3,507d14h47m17s
194.69.28.250,9,3,c0:67:af:3f:b5:74,8,1041d11h16m59s
38.92.76.1,9,3,a0:3d:6e:0c:b3:80,20,166d15h48m40s
46.226.58.98,9,,,54,22d21h39m30s
82.152.249.1,1970372420,76,,1,552d0h22m48s
91.200.16.66,2636,1,,15,28d17h39m43s
145.145.12.62,1681780,,,22,126d22h15m6s
193.67.144.1,9,3,a0:93:51:03:55:1c,0,0d0h0m0s
156.253.220.1,1970372352,28,,3,34d11h6m20s
89.30.224.8,9,,,10,974d7h37m4s
37.139.137.23,2636,1,,3,177d19h49m29s
