saddr,sport,daddr,classification,success,repeat,data
81.4.64.1,161.0,172.28.210.68,udp,1,0,3067020103300e02024a69020205dc040100020103041f301d040c800000090300001873b8540c0201060204144452100400040004003031040c800000090300001873b8540c0400a81f020237f002010002010030133011060a2b060106030f0101040041032823c8
212.22.74.1,161.0,172.28.210.68,udp,1,0,3065020103300f02024a69020300ffe3040100020103041d301b040b80000a4c037c258690fd60020104020379269c0400040004003030040b80000a4c037c258690fd600400a81f020237f002010002010030133011060a2b060106030f010104004103182240
92.120.2.1,161.0,172.28.210.68,udp,1,0,3062020103300f02024a69020300ffe3040100020103041b3019040b8000000903a03d6f159640020100020100040004000400302f040b8000000903a03d6f1596400400a81e020237f002010002010030123010060a2b060106030f01010400410266a8
45.148.184.92,161.0,172.28.210.68,udp,1,0,3066020103300e02024a69020205dc040100020103041f301d040c800000090300a03d6e0cb380020114020400dbb7570400040004003030040c800000090300a03d6e0cb3800400a81e020237f002010002010030123010060a2b060106030f0101040041020d4c
81.173.44.14,161.0,172.28.210.68,udp,1,0,3056020103300f02024a69020300ffe304010002010304153013040580003a8c040201000201000400040004003029040580003a8c040400a81e020237f002010002010030123010060a2b060106030f010104004102058d
94.228.128.194,161.0,172.28.210.68,udp,1,0,3067020103300e02024a69020205dc040100020103041f301d040c80000009030024e9b3e23d18020105020404081c520400040004003031040c80000009030024e9b3e23d180400a81f020237f002010002010030133011060a2b060106030f01010400410302b3d4
185.90.199.119,161.0,172.28.210.68,udp,1,0,3063020103300f02024a69020300ffe3040100020103041d301b040af5717f688bf43e7f2d00020106020400d5f124040004000400302e040af5717f688bf43e7f2d000400a81e020237f002010002010030123010060a2b060106030f01010400410217f5
37.114.88.81,161.0,172.28.210.68,udp,1,0,3067020103300e02024a6902020800040100020103041f301d040c0000000903005cb12effe2e2020101020403b066250400040004003031040c0000000903005cb12effe2e20400a81f020237f002010002010030133011060a2b060106030f010104004103014b4a
199.231.235.1,161.0,172.28.210.68,udp,1,0,3064020103300f02024a69020300ffe3040100020103041b3019040b8000000903b08bcf1a03100201000201000400040004003031040b8000000903b08bcf1a03100400a820020237f002010002010030143012060a2b060106030f01010400410403554050
94.102.54.1,161.0,172.28.210.68,udp,1,0,3064020103300f02024a69020300ffe3040100020103041d301b040af5717f444ca8c41efb00020104020401311773040004000400302f040af5717f444ca8c41efb000400a81f020237f002010002010030133011060a2b060106030f01010400410309a26c
213.21.232.1,161.0,172.28.210.68,udp,1,0,3062020103300f02024a69020300ffe3040100020103041b3019040b8000000903003a9c2380c0020100020100040004000400302f040b8000000903003a9c2380c00400a81e020237f002010002010030123010060a2b060106030f0101040041020637
149.11.80.18,161.0,172.28.210.68,udp,1,0,3067020103300e02024a69020205dc040100020103041f301d040c800000090300002cc801e480020106020408d616580400040004003031040c800000090300002cc801e4800400a81f020237f002010002010030133011060a2b060106030f010104004103017825
31.187.128.1,161.0,172.28.210.68,udp,1,0,3067020103300e02024a6902020800040100020103041f301d040c5026600000000100300010090201020204038efe620400040004003031040c5026600000000100300010090400a81f020237f002010002010030133011060a2b060106030f0101040041030247e1
217.119.226.14,161.0,172.28.210.68,udp,1,0,3064020103300e02024a6902021194040100020103041e301c040b800007c703609c9f5821000201180204035dfbcf040004000400302f040b800007c703609c9f5821000400a81e020237f002010002010030123010060a2b060106030f0101040041026046
5.8.44.1,161.0,172.28.210.68,udp,1,0,3067020103300e02024a6902020800040100020103041f301d040c0000000903000896ad248c7102010c020401a647cb0400040004003031040c0000000903000896ad248c710400a81f020237f002010002010030133011060a2b060106030f0101040041030126a7
193.118.48.121,161.0,172.28.210.68,udp,1,0,3063020103300e02024a6902022ee0040100020103041e301c040b800007db03602e200602810201060204033c8800040004000400302e040b800007db03602e200602810400a81d02010002010002010030123010060a2b060106030f01010400410214d5
149.11.201.122,161.0,172.28.210.68,udp,1,0,3066020103300f02024a69020300ffe3040100020103041e301c040b800002a203e8655f0aa1800201090204025e6e370400040004003030040b800002a203e8655f0aa1800400a81f020237f002010002010030133011060a2b060106030f010104004103183a7b
37.139.137.233,161.0,172.28.210.68,udp,1,0,3071020103300f02024a69020300ffe304010002010304243022041180001f8880cc510053fe91df6300000000020104020401afba760400040004003035041180001f8880cc510053fe91df63000000000400a81e020237f002010002010030123010060a2b060106030f0101040041024dd4
104.206.188.1,161.0,172.28.210.68,udp,1,0,3064020103300f02024a69020300ffe3040100020103041d301b040af5717f28993a30776700020106020400c7d833040004000400302f040af5717f28993a307767000400a81f020237f002010002010030133011060a2b060106030f010104004103023988
46.243.167.1,161.0,172.28.210.68,udp,1,0,3067020103300e02024a69020205dc040100020103041f301d040c800000090300549fc61f6f0002010a020400f7ce2f0400040004003031040c800000090300549fc61f6f000400a81f020237f002010002010030133011060a2b060106030f0101040041030211e5
